Unnamed: 0.1,Unnamed: 0,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes,Country_Brazil,Country_Canada,Country_India,Country_Indonesia,Country_New Zealand,Country_Phillipines,Country_Qatar,Country_Singapore,Country_South Africa,Country_Sri Lanka,Country_Turkey,Country_UAE,Country_United Kingdom,Country_United States,Country Code_14,Country Code_30,Country Code_37,Country Code_94,Country Code_148,Country Code_162,Country Code_166,Country Code_184,Country Code_189,Country Code_191,Country Code_208,Country Code_214,Country Code_215,Country Code_216,Currency_Brazilian Real(R$),Currency_Dollar($),Currency_Emirati Diram(AED),Currency_Indian Rupees(Rs.),Currency_Indonesian Rupiah(IDR),Currency_NewZealand($),Currency_Pounds(£),Currency_Qatari Rial(QR),Currency_Rand(R),Currency_Sri Lankan Rupee(LKR),Currency_Turkish Lira(TL),Rating color_Green,Rating color_Orange,Rating color_Red,Rating color_White,Rating color_Yellow,Rating text_Excellent,Rating text_Good,Rating text_Not rated,Rating text_Poor,Rating text_Very Good
0,0,0.00020940215684221548,0.00010470107842110774,121.027535,14.565443,0.00010470107842110774,1100,1,0,0,3,4.8,314,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0.00020940215684221548,0.00010470107842110774,121.014101,14.553708,0.0017799183331588316,1200,1,0,0,3,4.5,320,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,0.00041880431368443097,0.00010470107842110774,121.056831,14.581404,0.00010470107842110774,1375,1,0,0,4,4.4,270,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,3,0.00041880431368443097,0.00031410323526332324,121.056475,14.585318,0.0018846194115799393,1375,0,0,0,4,4.9,320,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,4,0.00041880431368443097,0.00031410323526332324,121.057508,14.58445,0.00031410323526332324,1375,1,0,0,4,4.8,229,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,5,0.00041880431368443097,0.00031410323526332324,121.056314,14.583764,0.03706418176107214,1000,0,0,0,3,4.4,320,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
6,6,0.00031410323526332324,0.00020940215684221548,120.9796667,14.53133333,0.00020940215684221548,1375,1,0,0,4,4.0,320,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7,7,0.00031410323526332324,0.00020940215684221548,120.9793333,14.54,0.00010470107842110774,1375,1,0,0,4,4.2,320,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8,8,0.00031410323526332324,0.00010470107842110774,120.98009,14.55299,0.00010470107842110774,1375,1,0,0,4,4.9,320,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,9,0.00031410323526332324,0.00031410323526332324,121.056532,14.572041,0.00031410323526332324,1100,1,0,0,3,4.8,320,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,10,0.00031410323526332324,0.00031410323526332324,121.057916,14.567689,0.00020940215684221548,800,0,0,0,3,4.9,320,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
